Final_text_length,N_keyboard_events,N_keyboard_comb_events,Ratio_combination,N_delete_events,Ratio_delete,N_paste_events,N_copy_events,Ratio_V_over_C,Length_per_event,start_time,segment_duration,text_state_change,error_rate,average_consecutive_backspaces,cps,average_thinking_time,pause_frequency,is_cheat_segment,title,project_id
67.0,127.0,13.0,0.1940298507462686,5.0,0.0746268656716417,0.0,0.0,0.0,0.4785714285714286,2023-11-21T23:37:04.664Z,33.28000000000001,m wthis so that I can plan what I going to do for thct integation b,0.0393700787401574,2.5,3.816105769230768,0.6045428571428572,35.0,False,so_actual_work,6568e0e0074041b41ec4c77b
60.0,66.0,2.0,0.0333333333333333,3.0,0.05,0.0,0.0,0.0,0.8823529411764706,2023-11-21T23:37:38.883Z,16.842,"

I will need to first setup the python server at port 3005 ",0.0454545454545454,1.5,3.9187744923405776,0.6072941176470588,17.0,False,so_actual_work,6568e0e0074041b41ec4c77b
0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2023-11-21T23:37:58.821Z,2.663,,0.0769230769230769,1.0,4.88171235448742,0.5536666666666666,3.0,False,so_actual_work,6568e0e0074041b41ec4c77b
62.0,91.0,0.0,0.0,14.0,0.2258064516129032,0.0,0.0,0.0,0.6813186813186813,2023-11-21T23:38:04.864Z,19.276999999999997,aprils code and my code which both uses normal distrubution to,0.1538461538461538,1.75,4.720651553664991,0.4429565217391303,23.0,False,so_actual_work,6568e0e0074041b41ec4c77b
2.0,14.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.1428571428571428,2023-11-21T23:38:28.827Z,3.3950000000000005,ib,0.0714285714285714,1.0,4.123711340206185,0.7040000000000001,3.0,False,so_actual_work,6568e0e0074041b41ec4c77b
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-21T23:38:37.739Z,0.0,,0.0,0.0,0.0,0.0,0.0,False,so_actual_work,6568e0e0074041b41ec4c77b
0.0,57.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2023-11-21T23:38:49.404Z,13.115,,0.1578947368421052,2.25,4.346168509340449,0.533357142857143,14.0,False,so_actual_work,6568e0e0074041b41ec4c77b
14.0,33.0,0.0,0.0,9.0,0.6428571428571429,0.0,0.0,0.0,0.4242424242424242,2023-11-21T23:39:08.679Z,7.6190000000000015,data resources,0.2727272727272727,9.0,4.33127707048169,0.575375,8.0,False,so_actual_work,6568e0e0074041b41ec4c77b
276.0,308.0,2.0,0.0072463768115942,16.0,0.0579710144927536,0.0,0.0,0.0,0.8903225806451613,2023-11-21T23:39:21.396Z,63.64500000000001," By creating multiple metrics about the typing behaviour of the user, we can classify each segment and tell how different each of the segment through out the session to calculate the percentage of likelihood that the assignment is done by a single person or more than 2 people",0.0519480519480519,2.6666666666666665,4.839343231989943,0.4715454545454544,77.0,False,so_actual_work,6568e0e0074041b41ec4c77b
62.0,67.0,0.0,0.0,2.0,0.032258064516129,0.0,0.0,0.0,0.9253731343283582,2023-11-21T23:40:28.196Z,13.846000000000002," so when we have this code, we can start integrating it to the",0.0298507462686567,1.0,4.838942654918387,0.527875,16.0,False,so_actual_work,6568e0e0074041b41ec4c77b
0.0,104.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2023-11-21T23:40:44.661Z,22.759,,0.1538461538461538,4.0,4.569620809350148,0.5218461538461538,26.0,False,so_actual_work,6568e0e0074041b41ec4c77b
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2023-11-21T23:41:10.414Z,1.789,.,0.0,0.0,1.1179429849077698,0.0,0.0,False,so_actual_work,6568e0e0074041b41ec4c77b
85.0,91.0,2.0,0.0235294117647058,3.0,0.0352941176470588,0.0,0.0,0.0,0.913978494623656,2023-11-21T23:41:15.769Z,24.03400000000001,The python server should begin the analysis of the data when access via /api/analysis,0.0329670329670329,1.5,3.786302737788132,0.6811739130434782,23.0,False,so_actual_work,6568e0e0074041b41ec4c77b
9.0,9.0,2.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,2023-11-21T23:41:45.236Z,1.881,project_i,0.0,0.0,4.784688995215311,0.3126666666666667,3.0,False,so_actual_work,6568e0e0074041b41ec4c77b
11.0,10.0,4.0,0.3636363636363636,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,2023-11-21T23:41:50.743Z,6.381000000000001,?project_id,0.0,0.0,1.5671524839366868,1.5106666666666666,3.0,False,so_actual_work,6568e0e0074041b41ec4c77b
18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526316,2023-11-21T23:42:00.224Z,3.233, then it will show,0.0,0.0,5.876894525208784,0.351,5.0,False,so_actual_work,6568e0e0074041b41ec4c77b
0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2023-11-21T23:42:07.760Z,0.72,,0.6666666666666666,2.0,4.166666666666667,0.541,1.0,False,so_actual_work,6568e0e0074041b41ec4c77b
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-21T23:42:12.489Z,0.0,,0.0,0.0,0.0,0.0,0.0,False,so_actual_work,6568e0e0074041b41ec4c77b
0.0,148.0,5.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2023-11-21T23:42:20.390Z,27.994999999999987,,0.1148648648648648,2.833333333333333,5.286658331844975,0.3948947368421053,38.0,False,so_actual_work,6568e0e0074041b41ec4c77b
31.0,36.0,10.0,0.3225806451612903,4.0,0.1290322580645161,0.0,0.0,0.0,0.6739130434782609,2023-11-21T23:42:51.056Z,14.474,"""human work evaluation"" : 80%, ",0.1111111111111111,4.0,2.4872184606881302,0.8816363636363636,11.0,False,so_actual_work,6568e0e0074041b41ec4c77b
24.0,69.0,4.0,0.1666666666666666,23.0,0.9583333333333334,0.0,0.0,0.0,0.3287671232876712,2023-11-21T23:43:08.809Z,18.977000000000007,"behaviour consistency"" :",0.3333333333333333,11.5,3.635980397323074,0.6745,18.0,False,so_actual_work,6568e0e0074041b41ec4c77b
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-24T01:04:31.990Z,0.0,,0.0,0.0,0.0,0.0,0.0,False,so_actual_work,6568e0e0074041b41ec4c77b
9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2023-11-23T01:21:18.300Z,1.219,aafaefeaf,0.0,0.0,8.203445447087777,0.257,2.0,False,so_actual_work2,6568e0e0074041b41ec4c7ad
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2023-11-23T01:21:25.036Z,0.0,,1.0,1.0,0.0,0.0,0.0,False,so_actual_work2,6568e0e0074041b41ec4c7ad
0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2023-11-23T01:21:29.187Z,1.7839999999999998,,1.0,1.0,0.5605381165919283,1.206,1.0,False,so_actual_work2,6568e0e0074041b41ec4c7ad
46.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,2023-11-23T01:21:35.744Z,9.175, im adding a lot of comment inbetween the word,0.0,0.0,5.231607629427794,0.4307499999999999,12.0,False,so_actual_work2,6568e0e0074041b41ec4c7ad
